ROW ID,TYPE,TYPE SORT RANK,WEIGHT CLASS,WEIGHT CLASS SORT RANK,CATEGORY,CAT SORT RANK,SUB CATEGORY,SUB CAT SORT RANK,PRODUCT PAGE ID,PRODUCT PAGE NAME,SUB DESCRIPTION,PART#,FRAME,PART LEVEL DESCRIPTION,WIDTH,CAPACITY,TEETH / TINE QTY,EST WEIGHT (LBS.),CUTTING EDGE,Make 1,Make 2,Make 3,Make 4,Make 5,Make 6,Make 7,Make 8,Make 9,Make 10,Make 11,Make 12,Make 13,Make 14,Make 15,Make 16,Make 17,Make 18,Make 19,Make 20,Make 21,Make 22,Make 23,Make 24,Make 25,Make 26,Make 27,Make 28,Make 29,Make 30,Make 31
140,Mini Excavator,2,"8,000 - 12,000 Lbs",4,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC25-4,,Dromone Mech Pin Grabbing Coupler - Fits: Komatsu Pc40Mr-1; Komatsu Pc50-2,,,,125,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
141,Mini Excavator,2,"8,000 - 12,000 Lbs",4,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC25-5,,Dromone Mech Pin Grabbing Coupler - Fits: Kubota Kx161-3 Kx161-2 Kx151,,,,125,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
142,Mini Excavator,2,"8,000 - 12,000 Lbs",4,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC25-7,,Dromone Mech Pin Grabbing Coupler - Fits: Deere 50D,,,,125,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
143,Mini Excavator,2,"8,000 - 12,000 Lbs",4,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC25-9,,Dromone Mech Pin Grabbing Coupler - Fits: Case Cx57C Cx60C; Hyundai R55-7 R55-9 R55W-7 R60Cr-9,,,,125,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
144,Mini Excavator,2,"12,000 - 14,000 Lbs",5,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC25,,Dromone Mech Pin Grabbing Coupler - Fits: Takeuchi Tb145 Tb153 Tb153Fr Tb250 Tb53Fr,,,,125,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
145,Mini Excavator,2,"12,000 - 14,000 Lbs",5,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC25-6,,Dromone Mech Pin Grabbing Coupler - Fits: Takeuchi Tb260,,,,125,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
146,Mini Excavator,2,"12,000 - 14,000 Lbs",5,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC45,,Dromone Mech Pin Grabbing Coupler - Fits: Deere 60D,,,,125,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
147,Mini Excavator,2,"14,000 - 16,000 Lbs",6,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC50,,Dromone Mech Pin Grabbing Coupler - Fits: Takeuchi Tb290 Tb285 Tb180Fr; Takeuchi Tb80Fr Tb75Fr Tb175,,,,154,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
148,Mini Excavator,2,"14,000 - 16,000 Lbs",6,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC50-1,,"Dromone Mech Pin Grabbing Coupler - Fits: Deere 80 85G; Hitachi Ex80, Zx80",,,,175,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
149,Mini Excavator,2,"14,000 - 16,000 Lbs",6,Couplers,2,Mechanical Pin Grabber,2-A3,5,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,MC50-2,,Dromone Mech Pin Grabbing Coupler - Fits: Kobelco Sk60 Sk60-4; New Holland Eh70,,,,175,,Bobcat,Case,Caterpillar,Daewoo,Ditch Witch,Doosan,Gehl,Hitachi,Hyundai,Volvo,,,,,,,,,,,,,,,,,,,,,
