ROW ID,TYPE,TYPE SORT RANK,WEIGHT CLASS,WEIGHT CLASS SORT RANK,CATEGORY,CAT SORT RANK,SUB CATEGORY,SUB CAT SORT RANK,PRODUCT PAGE ID,PRODUCT PAGE NAME,SUB DESCRIPTION,PART#,FRAME,PART LEVEL DESCRIPTION,WIDTH,CAPACITY,TEETH / TINE QTY,EST WEIGHT (LBS.),CUTTING EDGE,Make 1,Make 2,Make 3,Make 4,Make 5,Make 6,Make 7,Make 8,Make 9,Make 10,Make 11,Make 12,Make 13,Make 14,Make 15,Make 16,Make 17,Make 18,Make 19,Make 20,Make 21,Make 22,Make 23,Make 24,Make 25,Make 26,Make 27,Make 28,Make 29,Make 30,Make 31
1237,Excavator,5,"40,000 - 45,000 Lbs",11,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,48200X2,200X2,HD Bucket,"48""",1.600 CU YD,6,2300,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1238,Excavator,5,"40,000 - 45,000 Lbs",11,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,54200X2,200X2,HD Bucket,"54""",1.800 CU YD,6,2500,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1239,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,24230X2,230X2,HD Bucket,"24""",0.910 CU YD,3,1861,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1240,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,24231X2,231X2,HD Bucket,"24""",0.910 CU YD,3,1861,2,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1241,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,24235H2,235H2,HD Hi-Cap Bucket,"24""",1.000 CU YD,3,2200,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1242,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,30230X2,230X2,HD Bucket,"30""",1.120 CU YD,4,2245,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1243,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,30231X2,231X2,HD Bucket,"30""",1.120 CU YD,3,2245,2,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1244,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,30235H2,235H2,HD Hi-Cap Bucket,"30""",1.250 CU YD,4,2490,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1245,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,36230X2,230X2,HD Bucket,"36""",1.350 CU YD,5,2629,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1246,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,36231X2,231X2,HD Bucket,"36""",1.350 CU YD,4,2629,2,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1247,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,36235H2,235H2,HD Hi-Cap Bucket,"36""",1.500 CU YD,5,2890,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1248,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,42230X2,230X2,HD Bucket,"42""",1.570 CU YD,5,2933,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1249,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,42231X2,231X2,HD Bucket,"42""",1.570 CU YD,4,2933,2,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1250,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,42235H2,235H2,HD Hi-Cap Bucket,"42""",1.800 CU YD,5,3110,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1251,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,48230X2,230X2,HD Bucket,"48""",1.800 CU YD,6,3237,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1252,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,48231X2,231X2,HD Bucket,"48""",1.800 CU YD,5,3237,2,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1253,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,48235H2,235H2,HD Hi-Cap Bucket,"48""",2.100 CU YD,6,3440,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,Wacker-Neuson,Yanmar
1254,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,54230X2,230X2,HD Bucket,"54""",2.000 CU YD,6,3461,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,,
1255,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,54231X2,231X2,HD Bucket,"54""",2.000 CU YD,5,3461,2,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,,
1256,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,54235H2,235H2,HD Hi-Cap Bucket,"54""",2.380 CU YD,6,3600,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,,
1257,Excavator,5,"45,000 - 60,000 Lbs",12,Buckets,1,Heavy Duty,1-A1,32,Excavator Heavy Duty Buckets,Excavator Heavy Duty Buckets,60230X2,230X2,HD Bucket,"60""",2.250 CU YD,7,3685,1.5,Bobcat,Case,Caterpillar,Daewoo,Doosan,Dresser,Drott,Fiat Allis,Gehl,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,,
