ROW ID,TYPE,TYPE SORT RANK,WEIGHT CLASS,WEIGHT CLASS SORT RANK,CATEGORY,CAT SORT RANK,SUB CATEGORY,SUB CAT SORT RANK,PRODUCT PAGE ID,PRODUCT PAGE NAME,SUB DESCRIPTION,PART#,FRAME,PART LEVEL DESCRIPTION,WIDTH,CAPACITY,TEETH / TINE QTY,EST WEIGHT (LBS.),CUTTING EDGE,Make 1,Make 2,Make 3,Make 4,Make 5,Make 6,Make 7,Make 8,Make 9,Make 10,Make 11,Make 12,Make 13,Make 14,Make 15,Make 16,Make 17,Make 18,Make 19,Make 20,Make 21,Make 22,Make 23,Make 24,Make 25,Make 26,Make 27,Make 28,Make 29,Make 30,Make 31
676,Rubber Tire,1,Rubber Tire,18,Specialty,6,Grapple,6-Aa4,19,Grapples,Grapples,50G-2x3H,,2X3 HYD Grapple,,,2x3,1155,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
677,Rubber Tire,1,Rubber Tire,18,Specialty,6,Grapple,6-Aa4,19,Grapples,Grapples,50G-2x3S,,2X3 Stiff Arm Grapple,,,2x3,1155,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
678,Rubber Tire,1,Rubber Tire,18,Specialty,6,Grapple,6-Aa4,19,Grapples,Grapples,50G-2x3S,,2X3 Stiff Arm Grapple,,,2x3,1155,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
679,Rubber Tire,1,Rubber Tire,18,Specialty,6,Grapple,6-Aa4,19,Grapples,Grapples,50G-3x4H,,3X4 HYD Grapple,,,3x4,1330,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
680,Rubber Tire,1,Rubber Tire,18,Specialty,6,Grapple,6-Aa4,19,Grapples,Grapples,50G-3x4H,,3X4 HYD Grapple,,,3x4,1330,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
681,Rubber Tire,1,Rubber Tire,18,Specialty,6,Grapple,6-Aa4,19,Grapples,Grapples,50G-3x4S,,3X4 Stiff Arm Grapple,,,3x4,1330,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
682,Rubber Tire,1,Rubber Tire,18,Specialty,6,Grapple,6-Aa4,19,Grapples,Grapples,50G-3x4S,,3X4 Stiff Arm Grapple,,,3x4,1330,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
775,Rubber Tire,1,Rubber Tire,18,Specialty,6,Shaping Blade,6-Aa5,20,Shaping Blades,Shaping Blades,4250SB,,Shaping Blade,"42""",,,559,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
776,Rubber Tire,1,Rubber Tire,18,Specialty,6,Shaping Blade,6-Aa5,20,Shaping Blades,Shaping Blades,4250SB,,Shaping Blade,"42""",,,559,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
777,Rubber Tire,1,Rubber Tire,18,Specialty,6,Shaping Blade,6-Aa5,20,Shaping Blades,Shaping Blades,4850SB,,Shaping Blade,"48""",,,638,,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,,,,,,,,,,,,,,,,,,,,,,
