ROW ID,TYPE,TYPE SORT RANK,WEIGHT CLASS,WEIGHT CLASS SORT RANK,CATEGORY,CAT SORT RANK,SUB CATEGORY,SUB CAT SORT RANK,PRODUCT PAGE ID,PRODUCT PAGE NAME,SUB DESCRIPTION,PART#,FRAME,PART LEVEL DESCRIPTION,WIDTH,CAPACITY,TEETH / TINE QTY,EST WEIGHT (LBS.),CUTTING EDGE,Make 1,Make 2,Make 3,Make 4,Make 5,Make 6,Make 7,Make 8,Make 9,Make 10,Make 11,Make 12,Make 13,Make 14,Make 15,Make 16,Make 17,Make 18,Make 19,Make 20,Make 21,Make 22,Make 23,Make 24,Make 25,Make 26,Make 27,Make 28,Make 29,Make 30,Make 31
1135,QC29,4,"12,000 - 14,000 Lbs",5,Buckets,1,Ditch Cleaning,1-A3,28,TAG QC Ditch Cleaning Buckets,TAG QC Ditch Cleaning Buckets,4228QD,28QD,QC Ditch Bucket,"42""",0.325 CU YD,INC BOLT ON EDGE,330,1,TAG,,,,,,,,,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,,
1174,QC29,4,"12,000 - 14,000 Lbs",5,Couplers,2,TAG QC,2-A1,29,TAG QC TAG QC Couplers,TAG QC TAG QC Couplers,QC27,,Quick Coupler 27,,,,75,,TAG,,,,,,,,,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,,
1175,QC29,4,"12,000 - 14,000 Lbs",5,Couplers,2,TAG QC,2-A1,29,TAG QC TAG QC Couplers,TAG QC TAG QC Couplers,QC27THP,,QC27 T-Handle Pin,"1.25"" DIA PIN",,,10,,TAG,,,,,,,,,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,,
1176,QC29,4,"12,000 - 14,000 Lbs",5,Couplers,2,TAG QC,2-A1,29,TAG QC TAG QC Couplers,TAG QC TAG QC Couplers,QC27W,,Quick Coupler 27 Adjust-A-Hook,,,,80,,TAG,,,,,,,,,Halla,Hitachi,Hyundai,JCB,John Deere,Kobelco,Komatsu,Liebherr,Link-Belt,Liugong,Mitsubishi,Mustang,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Volvo,,
186,QC30,4,"14,000 - 16,000 Lbs",6,Couplers,2,Powertilt,2-A4,6,Powertilt Couplers,Powertilt Couplers,PTA-100-QC30,,Powertilt QC30,,,,450,,TAG,,,,,,,,,IHI,JCB,John Deere,Kobelco,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,Mustang,Nagano,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Vermeer,Volvo,,
255,QC30,4,"14,000 - 16,000 Lbs",6,Thumbs,3,Main Pin Hydraulic,3-A3,9,Main Pin Hydraulic Thumbs,Main Pin Hydraulic Thumbs,HT49,,Main Pin HYDraulic Thumb,,,2 FINGERS,350,,TAG,,,,,,,,,IHI,JCB,John Deere,Kobelco,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,Mustang,Nagano,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Vermeer,Volvo,,
280,QC30,4,"14,000 - 16,000 Lbs",6,Rippers,4,,,10,Single Shank Rippers,Single Shank Rippers,30RIP,,QC Ripper,"1.00""",,1,350,,TAG,,,,,,,,,IHI,JCB,John Deere,Kobelco,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,Mustang,Nagano,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Vermeer,Volvo,,
309,QC30,4,"14,000 - 16,000 Lbs",6,Top Mounts,5,,,11,Top Mounts,Top Mounts,UTM30,,QC No Holes Univ. Top Mount,,,,150,,TAG,,,,,,,,,IHI,JCB,John Deere,Kobelco,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,Mustang,Nagano,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Vermeer,Volvo,,
337,QC30,4,"14,000 - 16,000 Lbs",6,Specialty,6,SD Ripper,6-A1,12,SD Ripper Buckets,SD Ripper Buckets,1230Q5,30Q5,QC SD Ripper Bucket,"12""",4.250 CU FT,3,430,1,TAG,,,,,,,,,IHI,JCB,John Deere,Kobelco,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,Mustang,Nagano,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Vermeer,Volvo,,
338,QC30,4,"14,000 - 16,000 Lbs",6,Specialty,6,SD Ripper,6-A1,12,SD Ripper Buckets,SD Ripper Buckets,1630Q5,30Q5,QC SD Ripper Bucket,"16""",5.400 CU FT,4,475,1,TAG,,,,,,,,,IHI,JCB,John Deere,Kobelco,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,Mustang,Nagano,New Holland,Samsung,Sany,Schaeff,Sumitomo,Takeuchi,Terex,Vermeer,Volvo,,
